Date,Numbers,Mega Ball,Multiplier
01/02/2015,13 15 35 62 74,12,04
01/06/2015,12 20 27 38 75,04,03
01/09/2015,37 49 50 56 57,08,05
01/13/2015,12 20 25 50 51,07,05
01/16/2015,26 32 44 45 58,11,03
01/20/2015,31 35 56 59 63,06,05
01/23/2015,14 15 32 68 72,08,02
01/27/2015,05 26 27 44 57,07,03
01/30/2015,18 31 39 45 55,06,05
02/03/2015,11 22 25 58 69,13,05
02/06/2015,05 06 17 33 68,13,03
02/10/2015,07 42 53 58 71,15,02
02/13/2015,04 20 44 65 74,14,03
02/17/2015,06 45 50 65 66,01,05
02/20/2015,02 06 08 52 66,13,03
02/24/2015,15 23 26 45 66,04,03
02/27/2015,07 49 53 60 64,04,02
03/03/2015,09 11 42 44 50,03,04
03/06/2015,30 48 55 68 73,05,03
03/10/2015,10 14 19 30 73,14,05
03/13/2015,08 22 30 42 45,03,05
03/17/2015,11 27 44 45 58,03,05
03/20/2015,07 50 54 61 75,07,04
03/24/2015,02 23 32 45 55,12,02
03/27/2015,17 21 36 58 70,03,05
03/31/2015,08 26 41 61 73,11,05
04/03/2015,10 36 47 63 74,02,05
04/07/2015,05 15 22 26 64,06,04
04/10/2015,06 11 32 46 68,09,02
04/14/2015,03 07 25 68 71,03,05
04/17/2015,15 18 29 41 50,05,02
04/21/2015,31 33 35 41 69,11,05
04/24/2015,24 25 29 47 67,04,04
04/28/2015,22 27 55 58 63,11,05
05/01/2015,17 18 61 66 74,03,03
05/05/2015,11 21 42 62 71,07,05
05/08/2015,09 21 25 66 72,07,03
05/12/2015,14 30 33 36 44,02,05
05/15/2015,11 17 21 36 74,15,05
05/19/2015,10 12 21 29 65,10,05
05/22/2015,03 14 15 25 48,08,05
05/26/2015,01 39 52 69 72,12,04
05/29/2015,20 27 38 49 66,02,04
06/02/2015,02 09 11 22 23,12,04
06/05/2015,07 22 27 41 49,10,04
06/09/2015,06 16 17 25 36,07,05
06/12/2015,01 40 42 56 62,02,05
06/16/2015,08 19 26 56 67,14,02
06/19/2015,04 35 36 52 68,08,03
06/23/2015,06 13 38 56 70,02,05
06/26/2015,12 23 33 47 50,03,05
06/30/2015,11 17 34 43 50,15,04
07/03/2015,33 50 64 71 72,09,04
07/07/2015,06 15 16 28 49,14,03
07/10/2015,24 27 45 51 54,08,03
07/14/2015,19 24 30 35 72,05,03
07/17/2015,06 17 30 31 41,15,03
07/21/2015,20 30 62 65 74,01,05
07/24/2015,10 12 26 60 62,13,05
07/28/2015,08 35 61 68 75,15,05
07/31/2015,28 32 33 40 46,10,04
08/04/2015,02 19 44 51 57,14,02
08/07/2015,01 38 53 63 66,10,03
08/11/2015,03 08 29 57 68,08,04
08/14/2015,12 15 20 52 71,03,04
08/18/2015,02 07 33 39 53,09,03
08/21/2015,13 15 21 41 72,01,05
08/25/2015,05 44 54 59 63,01,05
08/28/2015,13 35 40 60 68,09,04
